Url,Etapa,Sem,Anno,Fecha,Partido,EquipoLoc,EquipoVis,FTR,GolLoc,GolVis,PtsLoc,PtsVis,PosLoc,PosVis,TirosLoc,TirosVis,FaltasLoc,FaltasVis,FLugarLoc,FlugarVis,TarAmaLoc,TarAmaVis,TarRojLoc,TarRojVis,DiaNom,Dia,Mes,Hora,Fec_Partido
https://colombia.as.com/resultados/futbol/colombia_i/2015/jornada/regular_a_1/,Regular,1,2015,Fecha - 1,Millonarios - Pasto,Millonarios,Pasto,L,5,1,3,0,61,39,11,3,14,13,2,2,1,3,0,0,Miercoles,25,Marzo,8:00:00 p. m.,25/03/2015
https://colombia.as.com/resultados/futbol/colombia_i/2015/jornada/regular_a_1/,Regular,1,2015,Fecha - 1,Cortulua - Envigado,Cortulua,Envigado,E,1,1,1,1,52,48,1,3,17,27,2,2,4,3,1,0,Viernes,30,Enero,7:45:00 p. m.,30/01/2015
https://colombia.as.com/resultados/futbol/colombia_i/2015/jornada/regular_a_1/,Regular,1,2015,Fecha - 1,Tolima - Chico,Tolima,Chico,L,4,1,3,0,58,42,6,5,23,19,0,0,2,3,0,0,Sabado,31,Enero,3:15:00 p. m.,31/01/2015
https://colombia.as.com/resultados/futbol/colombia_i/2015/jornada/regular_a_1/,Regular,1,2015,Fecha - 1,Once Caldas - Medellin,Once Caldas,Medellin,V,0,2,0,3,55,45,6,4,14,17,0,2,1,3,0,0,Sabado,31,Enero,5:30:00 p. m.,31/01/2015
https://colombia.as.com/resultados/futbol/colombia_i/2015/jornada/regular_a_1/,Regular,1,2015,Fecha - 1,Nacional - Rionegro Aguilas,Nacional,Rionegro Aguilas,L,2,0,3,0,56,44,8,3,20,14,3,3,3,3,0,0,Sabado,31,Enero,7:45:00 p. m.,31/01/2015
https://colombia.as.com/resultados/futbol/colombia_i/2015/jornada/regular_a_1/,Regular,1,2015,Fecha - 1,Jaguares FC - Deportivo Cali,Jaguares FC,Deportivo Cali,E,0,0,1,1,45,55,5,3,21,20,0,2,2,5,0,0,Domingo,01,Febrero,3:00:00 p. m.,01/02/2015
https://colombia.as.com/resultados/futbol/colombia_i/2015/jornada/regular_a_1/,Regular,1,2015,Fecha - 1,La Equidad - Santa Fe,La Equidad,Santa Fe,E,2,2,1,1,42,58,3,3,13,12,1,3,4,4,1,1,Domingo,01,Febrero,5:00:00 p. m.,01/02/2015
https://colombia.as.com/resultados/futbol/colombia_i/2015/jornada/regular_a_1/,Regular,1,2015,Fecha - 1,Patriotas - Huila,Patriotas,Huila,L,2,1,3,0,86,14,3,1,2,4,0,0,4,0,0,0,Domingo,01,Febrero,5:30:00 p. m.,01/02/2015
https://colombia.as.com/resultados/futbol/colombia_i/2015/jornada/regular_a_1/,Regular,1,2015,Fecha - 1,Cucuta - Junior,Cucuta,Junior,L,1,0,3,0,37,63,4,3,22,8,1,3,3,3,0,0,Domingo,01,Febrero,7:30:00 p. m.,01/02/2015
https://colombia.as.com/resultados/futbol/colombia_i/2015/jornada/regular_a_1/,Regular,1,2015,Fecha - 1,Uniautonoma - Alianza,Uniautonoma,Alianza,E,1,1,1,1,50,50,4,2,15,26,0,2,1,3,0,0,Lunes,02,Febrero,7:45:00 p. m.,02/02/2015
https://colombia.as.com/resultados/futbol/colombia_i/2015/jornada/regular_a_10/,Regular,1,2015,Fecha - 10,Once Caldas - Rionegro Aguilas,Once Caldas,Rionegro Aguilas,E,1,1,1,1,48,52,2,4,19,19,3,1,4,2,0,0,Sabado,14,Marzo,2:00:00 p. m.,14/03/2015
https://colombia.as.com/resultados/futbol/colombia_i/2015/jornada/regular_a_10/,Regular,1,2015,Fecha - 10,Alianza - Cucuta,Alianza,Cucuta,L,3,2,3,0,60,40,5,3,21,12,3,1,2,1,0,0,Sabado,14,Marzo,4:00:00 p. m.,14/03/2015
https://colombia.as.com/resultados/futbol/colombia_i/2015/jornada/regular_a_10/,Regular,1,2015,Fecha - 10,Jaguares FC - Envigado,Jaguares FC,Envigado,L,2,1,3,0,58,42,9,4,17,23,3,3,2,3,0,0,Sabado,14,Marzo,4:00:00 p. m.,14/03/2015
https://colombia.as.com/resultados/futbol/colombia_i/2015/jornada/regular_a_10/,Regular,1,2015,Fecha - 10,Millonarios - Santa Fe,Millonarios,Santa Fe,E,0,0,1,1,57,43,4,5,14,15,0,1,2,3,0,0,Sabado,14,Marzo,6:00:00 p. m.,14/03/2015
https://colombia.as.com/resultados/futbol/colombia_i/2015/jornada/regular_a_10/,Regular,1,2015,Fecha - 10,Tolima - Huila,Tolima,Huila,L,3,1,3,0,53,47,5,2,13,13,3,0,0,2,0,0,Sabado,14,Marzo,8:00:00 p. m.,14/03/2015
https://colombia.as.com/resultados/futbol/colombia_i/2015/jornada/regular_a_10/,Regular,1,2015,Fecha - 10,La Equidad - Pasto,La Equidad,Pasto,E,1,1,1,1,71,29,4,3,12,26,4,2,1,1,0,0,Domingo,15,Marzo,2:00:00 p. m.,15/03/2015
https://colombia.as.com/resultados/futbol/colombia_i/2015/jornada/regular_a_10/,Regular,1,2015,Fecha - 10,Patriotas - Chico,Patriotas,Chico,E,1,1,1,1,53,47,8,3,17,22,2,5,4,4,0,0,Domingo,15,Marzo,4:00:00 p. m.,15/03/2015
